9600000,1409517,4
3287263,1339180,4
9833517,324460,1
1910931,263991,4
8515767,209288,1
796095,197016,4
923768,190886,3
147570,164670,4
17098246,143990,2
1964375,129163,1
377930,127484,4
1104300,104957,3
300000,104918,4
1002000,97553,3
330967,95541,4
357376,82114,2
2344858,81340,3
1628750,81163,4
783562,80745,4
513120,69038,4
242495,66182,2
551500,64980,2
302073,59360,2
947303,57310,3
1221037,56717,3
676577,53371,4
100284,50982,4
591958,49700,3
1141748,49066,1
505944,46354,2
2780400,44271,1
603500,44223,2
241550,42863,3
2381741,41318,3
435052,40533,3
435046,38275,4
312679,38171,2
9984670,36624,1
446550,35740,3
652864,35530,4
2206714,32938,4
1285216,32166,1
912050,31977,1
448969,31911,4
330323,31624,4
1246700,29784,3
799380,29669,3
147181,29305,4
238537,28834,3
527968,28250,4
587295,25571,3
120538,25491,4
7692060,24451,5
475650,24054,3
1267000,21477,3
65610,20877,4
238391,19679,2
272967,19193,3
118484,18622,3
1240192,18542,3
185180,18270,4
2724902,18204,4
756102,18055,1
752612,17094,3
41542,17036,2
108889,16914,1
257217,16625,1
390757,16530,3
181035,16005,4
196712,15851,3
1284000,14900,3
637657,14742,3
245857,12717,3
658841,12576,3
26338,12208,3
163610,11532,3
109884,11485,1
30528,11429,2
114763,11176,3
131957,11160,2
1098581,11052,1
27750,10981,1
27830,10864,3
48671,10767,1
78868,10618,2
92226,10330,2
438574,9911,2
86600,9828,4
93024,9722,2
89318,9702,4
207600,9468,2
83600,9400,4
112492,9265,1
142600,8921,4
88499,8791,2
83871,8736,2
41291,8476,2
22072,8322,4
462840,8251,5
56785,7798,3
72300,7557,3
111002,7085,2
236800,6858,4
406752,6811,1
21041,6378,1
1676198,6375,3
130373,6218,1
10452,6082,4
199949,6045,4
488100,5758,4
42921,5734,2
719,5709,4
338440,5523,2
49035,5448,2
386194,5305,2
342000,5261,3
117600,5069,3
6020,4921,4
51100,4906,1
69797,4762,2
111369,4732,3
268107,4706,5
622984,4659,3
309500,4636,4
1030700,4420,3
56594,4189,2
17818,4136,4
75320,4099,1
33846,4051,2
69700,3912,4
8868,3663,1
51209,3507,2
173626,3457,1
1564116,3076,4
28748,2930,2
29743,2930,4
10990,2890,1
65286,2890,2
11607,2639,4
824116,2534,3
582000,2292,3
30355,2233,3
11295,2101,3
25713,2083,2
20273,2080,2
267668,2025,3
64573,1950,2
36125,1861,3
771,1493,4
5127,1369,1
17363,1367,3
45227,1310,2
14919,1296,4
28052,1268,3
1969,1265,3
9251,1180,4
23200,957,3
18272,906,5
2235,814,3
38394,808,4
214969,778,1
13812,629,2
28896,611,5
2586,584,2
163820,563,1
266000,553,3
4033,546,3
1705,450,1
300,436,4
315,431,2
5765,429,4
13940,395,1
1128,385,1
22966,375,1
103000,335,2
431,286,1
83534,283,1
4000,283,5
18575,276,5
12189,276,5
374,253,3
964,204,3
2842,196,5
539,179,1
180,165,2
549,164,5
726,116,5
389,110,1
345,108,1
747,108,5
702,106,5
180,105,1
347,105,1
442,102,1
457,95,3
572,84,2
468,77,2
750,74,1
264,62,1
53,61,1
199,56,5
2166086,56,1
457,55,5
261,55,1
181,53,5
1393,49,2
34,40,1
2,39,2
160,38,2
6,35,2
948,35,1
61,33,2
151,31,1
459,22,5
236,17,5
91,15,1
142,12,5
21,11,5
26,11,5
242,6,1
103,5,1
308,4,3
12173,3,1
260,2,5
1,1,2
12,1,5
